verbatim_name,verbatim_aphia_id,accepted_name,aphia_id,SpecCode,kingdom,phylum,class,order,family,genus,rank
OPHIDIIDAE,NA,Ophidiidae,125505,NA,Animalia,Chordata,Teleostei,Ophidiiformes,Ophidiidae,NA,Family
NEMICHTHYS SCOLOPACEUS,NA,Nemichthys scolopaceus,126306,2660,Animalia,Chordata,Teleostei,Anguilliformes,Nemichthyidae,Nemichthys,Species
MACROURUS BERGLAX,NA,Macrourus berglax,126472,331,Animalia,Chordata,Teleostei,Gadiformes,Macrouridae,Macrourus,Species
GONOSTOMA ELONGATUM,NA,Sigmops elongatus,221512,7383,Animalia,Chordata,Teleostei,Stomiiformes,Gonostomatidae,Gonostoma,Species
COELORHYNCHUS CARMINATUS,NA,Coelorinchus caelorhincus,398381,1726,Animalia,Chordata,Teleostei,Gadiformes,Macrouridae,Coelorhynchus,Species
FISTULARIA TABACARIA,NA,Fistularia tabacaria,159440,3275,Animalia,Chordata,Teleostei,Syngnathiformes,Fistulariidae,Fistularia,Species
ENGRAULIDAE,NA,Engraulidae,125465,NA,Animalia,Chordata,Teleostei,Clupeiformes,Engraulidae,NA,Family
MACRORHAMPHOSUS SCOLOPAX,NA,Macroramphosus scolopax,127378,333,Animalia,Chordata,Teleostei,Syngnathiformes,Centriscidae,Macrorhamphosus,Species
OTOPHIDIUM OMOSTIGMUM,NA,Otophidium omostigma,158771,3119,Animalia,Chordata,Teleostei,Ophidiiformes,Ophidiidae,Otophidium,Species
BENTHODESMUS SIMONYI,NA,Benthodesmus simonyi,127087,8553,Animalia,Chordata,Teleostei,Scombriformes,Trichiuridae,Benthodesmus,Species
DACTYLOPTERUS VOLITANS,NA,Dactylopterus volitans,127232,1021,Animalia,Chordata,Teleostei,Dactylopteriformes,Dactylopteridae,Dactylopterus,Species
GYMNURA ALTAVELA,NA,Gymnura altavela,105856,2577,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Gymnuridae,Gymnura,Species
RHINOPTERA BONASUS,NA,Rhinoptera bonasus,158544,2584,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Rhinopteridae,Rhinoptera,Species
LAGOCEPHALUS LAEVIGATUS,NA,Lagocephalus laevigatus,158933,1239,Animalia,Chordata,Teleostei,Tetraodontiformes,Tetraodontidae,Lagocephalus,Species
RAJIFORMES,NA,Rajiformes,10216,NA,Animalia,Chordata,Elasmobranchii,Rajiformes,NA,NA,Order
ARIOMMA BONDI,NA,Ariomma bondi,159592,961,Animalia,Chordata,Teleostei,Scombriformes,Ariommatidae,Ariomma,Species
MALACOCEPHALUS OCCIDENTALIS,NA,Malacocephalus occidentalis,158741,4990,Animalia,Chordata,Teleostei,Gadiformes,Macrouridae,Malacocephalus,Species
MORIDAE,NA,Moridae,125474,NA,Animalia,Chordata,Teleostei,Gadiformes,Moridae,NA,Family
CLUPEIDAE,NA,Clupeidae,125464,NA,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,NA,Family
DIAPHUS SP,NA,Diaphus,125819,NA,Animalia,Chordata,Teleostei,Myctophiformes,Myctophidae,Diaphus,Genus
SERIOLA ZONATA,NA,Seriola zonata,159650,1008,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Seriola,Species
SPHYRNA LEWINI,NA,Sphyrna lewini,105816,912,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,Species
STROMATEIDAE,NA,Stromateidae,125567,NA,Animalia,Chordata,Teleostei,Scombriformes,Stromateidae,NA,Family
