year,Method,lat_position,term,estimate,std.error,statistic,p.value,conditional_sd,sig,Edge,Species
2001,0.01 Quantile,41.894372,year,0.016311887175966135,0.005374812548451919,3.0348755475508384,0.003951109917274268,0.5050083793751836,yes,Equatorward,Urophycis tenuis
2002,Most Distal Point,37.3015,year,0.003423936767260329,0.01526189550614942,0.2243454468601711,0.823482042775329,1.4339821242647506,no,Equatorward,Urophycis tenuis
2002,Mean of Most Distal Points,40.091,year,0.007436097155883561,0.008747530371255188,0.8500796042182305,0.3996838554866825,0.8219032936497768,no,Equatorward,Urophycis tenuis
2002,Weighted Mean of Most Distal Points,40.47029175,year,0.004119267121443911,0.00860938226372909,0.4784625650551241,0.6345873466011798,0.8089231289897835,no,Equatorward,Urophycis tenuis
2002,0.10 Quantile,42.431167,year,0.008589532549934935,0.003599820876581511,2.3860999878671163,0.021199844151114002,0.3382331366043617,yes,Equatorward,Urophycis tenuis
2002,0.05 Quantile,42.18094145,year,0.014610113254450965,0.004576684415013436,3.192292045858284,0.0025459991058464737,0.4300175975445506,yes,Equatorward,Urophycis tenuis
2002,0.01 Quantile,41.72424649,year,0.016311887175966135,0.005374812548451919,3.0348755475508384,0.003951109917274268,0.5050083793751836,yes,Equatorward,Urophycis tenuis
2003,Most Distal Point,39.973333,year,0.003423936767260329,0.01526189550614942,0.2243454468601711,0.823482042775329,1.4339821242647506,no,Equatorward,Urophycis tenuis
2003,Mean of Most Distal Points,40.797944333333334,year,0.007436097155883561,0.008747530371255188,0.8500796042182305,0.3996838554866825,0.8219032936497768,no,Equatorward,Urophycis tenuis
2003,Weighted Mean of Most Distal Points,41.03242611111111,year,0.004119267121443911,0.00860938226372909,0.4784625650551241,0.6345873466011798,0.8089231289897835,no,Equatorward,Urophycis tenuis
2003,0.10 Quantile,41.898167,year,0.008589532549934935,0.003599820876581511,2.3860999878671163,0.021199844151114002,0.3382331366043617,yes,Equatorward,Urophycis tenuis
2003,0.05 Quantile,41.726667,year,0.014610113254450965,0.004576684415013436,3.192292045858284,0.0025459991058464737,0.4300175975445506,yes,Equatorward,Urophycis tenuis
2003,0.01 Quantile,41.149667,year,0.016311887175966135,0.005374812548451919,3.0348755475508384,0.003951109917274268,0.5050083793751836,yes,Equatorward,Urophycis tenuis
2004,Most Distal Point,40.097577,year,0.003423936767260329,0.01526189550614942,0.2243454468601711,0.823482042775329,1.4339821242647506,no,Equatorward,Urophycis tenuis
2004,Mean of Most Distal Points,40.19718066666667,year,0.007436097155883561,0.008747530371255188,0.8500796042182305,0.3996838554866825,0.8219032936497768,no,Equatorward,Urophycis tenuis
2004,Weighted Mean of Most Distal Points,40.17227975,year,0.004119267121443911,0.00860938226372909,0.4784625650551241,0.6345873466011798,0.8089231289897835,no,Equatorward,Urophycis tenuis
2004,0.10 Quantile,41.726658,year,0.008589532549934935,0.003599820876581511,2.3860999878671163,0.021199844151114002,0.3382331366043617,yes,Equatorward,Urophycis tenuis
2004,0.05 Quantile,41.11346575,year,0.014610113254450965,0.004576684415013436,3.192292045858284,0.0025459991058464737,0.4300175975445506,yes,Equatorward,Urophycis tenuis
2004,0.01 Quantile,40.25356405,year,0.016311887175966135,0.005374812548451919,3.0348755475508384,0.003951109917274268,0.5050083793751836,yes,Equatorward,Urophycis tenuis
2005,Most Distal Point,38.581123,year,0.003423936767260329,0.01526189550614942,0.2243454468601711,0.823482042775329,1.4339821242647506,no,Equatorward,Urophycis tenuis
2005,Mean of Most Distal Points,39.63122433333333,year,0.007436097155883561,0.008747530371255188,0.8500796042182305,0.3996838554866825,0.8219032936497768,no,Equatorward,Urophycis tenuis
2005,Weighted Mean of Most Distal Points,39.8162265,year,0.004119267121443911,0.00860938226372909,0.4784625650551241,0.6345873466011798,0.8089231289897835,no,Equatorward,Urophycis tenuis
2005,0.10 Quantile,41.72705,year,0.008589532549934935,0.003599820876581511,2.3860999878671163,0.021199844151114002,0.3382331366043617,yes,Equatorward,Urophycis tenuis
2005,0.05 Quantile,41.72705,year,0.014610113254450965,0.004576684415013436,3.192292045858284,0.0025459991058464737,0.4300175975445506,yes,Equatorward,Urophycis tenuis
2005,0.01 Quantile,40.371233,year,0.016311887175966135,0.005374812548451919,3.0348755475508384,0.003951109917274268,0.5050083793751836,yes,Equatorward,Urophycis tenuis
2006,Most Distal Point,36.311263,year,0.003423936767260329,0.01526189550614942,0.2243454468601711,0.823482042775329,1.4339821242647506,no,Equatorward,Urophycis tenuis
2006,Mean of Most Distal Points,39.396332,year,0.007436097155883561,0.008747530371255188,0.8500796042182305,0.3996838554866825,0.8219032936497768,no,Equatorward,Urophycis tenuis
2006,Weighted Mean of Most Distal Points,39.76982225,year,0.004119267121443911,0.00860938226372909,0.4784625650551241,0.6345873466011798,0.8089231289897835,no,Equatorward,Urophycis tenuis
2006,0.10 Quantile,41.860417,year,0.008589532549934935,0.003599820876581511,2.3860999878671163,0.021199844151114002,0.3382331366043617,yes,Equatorward,Urophycis tenuis
2006,0.05 Quantile,41.772133,year,0.014610113254450965,0.004576684415013436,3.192292045858284,0.0025459991058464737,0.4300175975445506,yes,Equatorward,Urophycis tenuis
2006,0.01 Quantile,41.097283559999994,year,0.016311887175966135,0.005374812548451919,3.0348755475508384,0.003951109917274268,0.5050083793751836,yes,Equatorward,Urophycis tenuis
2007,Most Distal Point,40.30896,year,0.003423936767260329,0.01526189550614942,0.2243454468601711,0.823482042775329,1.4339821242647506,no,Equatorward,Urophycis tenuis
2007,Mean of Most Distal Points,40.81648,year,0.007436097155883561,0.008747530371255188,0.8500796042182305,0.3996838554866825,0.8219032936497768,no,Equatorward,Urophycis tenuis
2007,Weighted Mean of Most Distal Points,40.96452818181818,year,0.004119267121443911,0.00860938226372909,0.4784625650551241,0.6345873466011798,0.8089231289897835,no,Equatorward,Urophycis tenuis
2007,0.10 Quantile,41.596583,year,0.008589532549934935,0.003599820876581511,2.3860999878671163,0.021199844151114002,0.3382331366043617,yes,Equatorward,Urophycis tenuis
2007,0.05 Quantile,40.979333,year,0.014610113254450965,0.004576684415013436,3.192292045858284,0.0025459991058464737,0.4300175975445506,yes,Equatorward,Urophycis tenuis
2007,0.01 Quantile,40.979333,year,0.016311887175966135,0.005374812548451919,3.0348755475508384,0.003951109917274268,0.5050083793751836,yes,Equatorward,Urophycis tenuis
2008,Most Distal Point,40.866428,year,0.003423936767260329,0.01526189550614942,0.2243454468601711,0.823482042775329,1.4339821242647506,no,Equatorward,Urophycis tenuis
2008,Mean of Most Distal Points,41.097476,year,0.007436097155883561,0.008747530371255188,0.8500796042182305,0.3996838554866825,0.8219032936497768,no,Equatorward,Urophycis tenuis
2008,Weighted Mean of Most Distal Points,41.0227085,year,0.004119267121443911,0.00860938226372909,0.4784625650551241,0.6345873466011798,0.8089231289897835,no,Equatorward,Urophycis tenuis
2008,0.10 Quantile,41.92978,year,0.008589532549934935,0.003599820876581511,2.3860999878671163,0.021199844151114002,0.3382331366043617,yes,Equatorward,Urophycis tenuis
2008,0.05 Quantile,41.76909,year,0.014610113254450965,0.004576684415013436,3.192292045858284,0.0025459991058464737,0.4300175975445506,yes,Equatorward,Urophycis tenuis
2008,0.01 Quantile,41.46291215,year,0.016311887175966135,0.005374812548451919,3.0348755475508384,0.003951109917274268,0.5050083793751836,yes,Equatorward,Urophycis tenuis
2009,Most Distal Point,40.445173,year,0.003423936767260329,0.01526189550614942,0.2243454468601711,0.823482042775329,1.4339821242647506,no,Equatorward,Urophycis tenuis
2009,Mean of Most Distal Points,40.517162666666664,year,0.007436097155883561,0.008747530371255188,0.8500796042182305,0.3996838554866825,0.8219032936497768,no,Equatorward,Urophycis tenuis
2009,Weighted Mean of Most Distal Points,40.52588025,year,0.004119267121443911,0.00860938226372909,0.4784625650551241,0.6345873466011798,0.8089231289897835,no,Equatorward,Urophycis tenuis
2009,0.10 Quantile,41.73024,year,0.008589532549934935,0.003599820876581511,2.3860999878671163,0.021199844151114002,0.3382331366043617,yes,Equatorward,Urophycis tenuis
2009,0.05 Quantile,41.33497,year,0.014610113254450965,0.004576684415013436,3.192292045858284,0.0025459991058464737,0.4300175975445506,yes,Equatorward,Urophycis tenuis
2009,0.01 Quantile,41.028695,year,0.016311887175966135,0.005374812548451919,3.0348755475508384,0.003951109917274268,0.5050083793751836,yes,Equatorward,Urophycis tenuis
2010,Most Distal Point,37.607987,year,0.003423936767260329,0.01526189550614942,0.2243454468601711,0.823482042775329,1.4339821242647506,no,Equatorward,Urophycis tenuis
2010,Mean of Most Distal Points,38.11155333333333,year,0.007436097155883561,0.008747530371255188,0.8500796042182305,0.3996838554866825,0.8219032936497768,no,Equatorward,Urophycis tenuis
2010,Weighted Mean of Most Distal Points,37.98566175,year,0.004119267121443911,0.00860938226372909,0.4784625650551241,0.6345873466011798,0.8089231289897835,no,Equatorward,Urophycis tenuis
2010,0.10 Quantile,41.782948,year,0.008589532549934935,0.003599820876581511,2.3860999878671163,0.021199844151114002,0.3382331366043617,yes,Equatorward,Urophycis tenuis
2010,0.05 Quantile,41.395473,year,0.014610113254450965,0.004576684415013436,3.192292045858284,0.0025459991058464737,0.4300175975445506,yes,Equatorward,Urophycis tenuis
2010,0.01 Quantile,40.61500109,year,0.016311887175966135,0.005374812548451919,3.0348755475508384,0.003951109917274268,0.5050083793751836,yes,Equatorward,Urophycis tenuis
2011,Most Distal Point,39.828667,year,0.003423936767260329,0.01526189550614942,0.2243454468601711,0.823482042775329,1.4339821242647506,no,Equatorward,Urophycis tenuis
2011,Mean of Most Distal Points,40.447209666666666,year,0.007436097155883561,0.008747530371255188,0.8500796042182305,0.3996838554866825,0.8219032936497768,no,Equatorward,Urophycis tenuis
2011,Weighted Mean of Most Distal Points,40.6375135,year,0.004119267121443911,0.00860938226372909,0.4784625650551241,0.6345873466011798,0.8089231289897835,no,Equatorward,Urophycis tenuis
2011,0.10 Quantile,41.85901200000001,year,0.008589532549934935,0.003599820876581511,2.3860999878671163,0.021199844151114002,0.3382331366043617,yes,Equatorward,Urophycis tenuis
2011,0.05 Quantile,41.33891,year,0.014610113254450965,0.004576684415013436,3.192292045858284,0.0025459991058464737,0.4300175975445506,yes,Equatorward,Urophycis tenuis
2011,0.01 Quantile,40.960623,year,0.016311887175966135,0.005374812548451919,3.0348755475508384,0.003951109917274268,0.5050083793751836,yes,Equatorward,Urophycis tenuis
2012,Most Distal Point,40.933885,year,0.003423936767260329,0.01526189550614942,0.2243454468601711,0.823482042775329,1.4339821242647506,no,Equatorward,Urophycis tenuis
2012,Mean of Most Distal Points,41.041466,year,0.007436097155883561,0.008747530371255188,0.8500796042182305,0.3996838554866825,0.8219032936497768,no,Equatorward,Urophycis tenuis
2012,Weighted Mean of Most Distal Points,41.02287753846154,year,0.004119267121443911,0.00860938226372909,0.4784625650551241,0.6345873466011798,0.8089231289897835,no,Equatorward,Urophycis tenuis
2012,0.10 Quantile,41.947028,year,0.008589532549934935,0.003599820876581511,2.3860999878671163,0.021199844151114002,0.3382331366043617,yes,Equatorward,Urophycis tenuis
2012,0.05 Quantile,41.573188,year,0.014610113254450965,0.004576684415013436,3.192292045858284,0.0025459991058464737,0.4300175975445506,yes,Equatorward,Urophycis tenuis
2012,0.01 Quantile,41.038155,year,0.016311887175966135,0.005374812548451919,3.0348755475508384,0.003951109917274268,0.5050083793751836,yes,Equatorward,Urophycis tenuis
2013,Most Distal Point,39.96342,year,0.003423936767260329,0.01526189550614942,0.2243454468601711,0.823482042775329,1.4339821242647506,no,Equatorward,Urophycis tenuis
2013,Mean of Most Distal Points,40.420231,year,0.007436097155883561,0.008747530371255188,0.8500796042182305,0.3996838554866825,0.8219032936497768,no,Equatorward,Urophycis tenuis
2013,Weighted Mean of Most Distal Points,40.440379,year,0.004119267121443911,0.00860938226372909,0.4784625650551241,0.6345873466011798,0.8089231289897835,no,Equatorward,Urophycis tenuis
2013,0.10 Quantile,41.454573,year,0.008589532549934935,0.003599820876581511,2.3860999878671163,0.021199844151114002,0.3382331366043617,yes,Equatorward,Urophycis tenuis
2013,0.05 Quantile,41.011585,year,0.014610113254450965,0.004576684415013436,3.192292045858284,0.0025459991058464737,0.4300175975445506,yes,Equatorward,Urophycis tenuis
2013,0.01 Quantile,40.447095,year,0.016311887175966135,0.005374812548451919,3.0348755475508384,0.003951109917274268,0.5050083793751836,yes,Equatorward,Urophycis tenuis
2014,Most Distal Point,40.863333,year,0.003423936767260329,0.01526189550614942,0.2243454468601711,0.823482042775329,1.4339821242647506,no,Equatorward,Urophycis tenuis
